File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AABB2.cpp,12,2,1,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AABB3.cpp,12,2,1,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AnimBase.cpp,38,24,10,2,5,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Arc2.cpp,12,2,1,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Array.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AttributesBlock.cpp,132,98,51,35,26,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Audio.cpp,477,354,220,61,102,7,21,151,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioClip.cpp,232,173,93,15,43,0,16,38,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioComponent.cpp,34,21,9,3,5,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListener.cpp,58,40,13,1,10,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioListenerBase.cpp,26,16,7,1,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioSourceBase.cpp,333,264,147,32,59,0,10,33,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\AudioStream.cpp,180,135,75,14,29,0,16,41,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BaryCentric.cpp,50,33,21,3,9,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BasicScene.cpp,29,16,8,0,5,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve2.cpp,329,244,177,28,49,0,36,111,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BezierCurve3.cpp,329,244,177,28,49,0,36,111,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BillBoard.cpp,204,159,88,13,35,0,10,31,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BillBoardRenderer.cpp,98,72,47,5,18,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Box3Collider.cpp,82,58,25,6,16,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BoxShape3.cpp,58,39,22,2,11,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BSplineBasis.cpp,411,318,165,54,57,3,36,90,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BSplineCurve2.cpp,244,180,94,27,32,0,32,59,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BSplineCurve3.cpp,244,181,94,27,32,0,31,57,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BVector2.cpp,24,13,8,1,3,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BVector3.cpp,26,15,10,1,3,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BVector4.cpp,28,17,12,1,3,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BVHTriangleMeshCollider.cpp,75,49,20,6,15,0,11,32,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\BVHTriangleMeshShape3.cpp,244,186,90,11,41,0,17,46,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\CameraComponent.cpp,168,95,52,7,25,0,48,89,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Capsule3.cpp,12,2,1,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Capsule3Collider.cpp,82,58,25,6,16,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\CapsuleBound.cpp,31,19,9,2,4,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\CapsuleShape3.cpp,72,52,30,6,12,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Circle2.cpp,12,2,1,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Circle3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ClassIndexMap.cpp,105,90,58,6,14,0,1,1,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Collision.cpp,447,231,113,26,61,2,155,763,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ColorRGB.cpp,101,76,48,7,17,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ColorRGBA.cpp,104,79,51,7,17,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Component.cpp,397,278,131,50,60,0,59,104,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Cone3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Cone3Collider.cpp,82,58,25,6,16,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ConeShape3.cpp,77,56,34,6,13,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ConvexHull3Collider.cpp,75,50,20,3,15,0,10,29,8,23
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ConvexHullShape3.cpp,53,36,21,2,9,0,8,23,8,23
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Cube.cpp,144,103,54,9,24,0,17,43,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\CubeRenderer.cpp,95,69,46,5,18,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Curve2.cpp,192,139,83,13,30,0,23,64,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Curve3.cpp,238,179,114,17,33,0,26,72,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Cylinder3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Cylinder3Collider.cpp,82,58,25,6,16,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\CylinderShape3.cpp,76,56,34,6,12,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Delegate.cpp,79,61,33,9,10,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\DiffuseMapCube.cpp,129,96,48,7,24,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\DiffuseMapCubeRenderer.cpp,120,90,59,7,22,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\DiffuseMapSpecularMapCube.cpp,136,102,53,9,25,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\DiffuseMapSpecularMapCubeRenderer.cpp,126,96,65,7,22,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EditorCameraComponent.cpp,23,12,4,0,3,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EditorGizmo.cpp,261,207,133,9,46,5,8,32,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EditorGizmoRenderer.cpp,41,27,10,2,6,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EMath.cpp,34,24,21,1,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Entity.cpp,431,338,166,71,75,0,18,37,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EntityFieldReader.cpp,49,31,16,7,9,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EntityFieldWriter.cpp,48,30,15,7,9,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EntityPropertyReader.cpp,49,31,16,7,9,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EntityPropertyWriter.cpp,48,30,15,7,9,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\EString.cpp,773,663,415,186,94,2,16,77,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ESystem.cpp,321,226,125,58,44,7,51,233,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\FileIO.cpp,952,803,455,159,124,1,25,98,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Font.cpp,723,546,333,88,137,1,40,218,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Frame3.cpp,551,313,169,29,99,4,139,217,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GameDescriptor.cpp,131,105,64,8,18,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Graphics2.cpp,150,122,48,10,19,0,9,24,8,23
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Graphics2Component.cpp,23,13,3,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Graphics3Component.cpp,23,13,3,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXAttribute.cpp,43,35,18,5,8,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXBlendState.cpp,43,35,18,3,8,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXColorBuffer.cpp,6,5,1,0,1,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXContext.cpp,1763,1206,610,117,278,5,279,922,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXCullState.cpp,21,17,8,1,4,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDebugRenderer.cpp,22,18,7,0,4,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDef.cpp,962,821,411,72,119,0,22,22,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDepthBuffer.cpp,6,5,1,0,1,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXDepthTestState.cpp,32,26,13,2,6,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXFrameBuffer.cpp,99,84,48,11,15,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXIndexBuffer.cpp,101,84,51,10,17,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXPixelBuffer.cpp,120,91,53,15,21,0,8,35,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\GXPolygonOffsetState.cpp,22,18,9,2,4,0,0,0,0,0
